soma_jogador,carta_dealer,as_utilizavel,true_count,q_hit,q_stick,melhor_acao
9,8,0,2,0.14909143397974145,-0.32442886986790953,hit
9,9,0,-2,-0.12349448642329627,-0.5687904787679916,hit
9,9,0,-1,-0.021013575116652222,-0.442857382567666,hit
9,9,0,0,-0.03372541075474167,-0.3603924401752742,hit
9,9,0,1,-0.014872510863403009,-0.673920391227909,hit
9,9,0,2,0.014539846492414903,-0.5387021092073638,hit
9,10,0,-2,-0.34349695947365344,-0.5588322174851991,hit
9,10,0,-1,-0.3268760897874453,-0.7246570869044854,hit
9,10,0,0,-0.24539571527681078,-0.6751155264571933,hit
9,10,0,1,-0.304038687689251,-0.6469586902629999,hit
9,10,0,2,-0.11033219633939674,-0.8265439569928055,hit
10,1,0,-2,-0.19562452858133017,-0.8453233760597486,hit
10,1,0,-1,-0.25006334998040636,-0.7815327788137464,hit
10,1,0,0,-0.22317935444807346,-0.8817138760453651,hit
10,1,0,1,-0.21853506874956705,-0.6211844774018559,hit
10,1,0,2,-0.1197454135628987,-0.6945766556558395,hit
10,2,0,-2,0.09855568794886826,-0.3745114925747454,hit
10,2,0,-1,0.349284133723567,-0.37563559892873055,hit
10,2,0,0,0.31153545688401324,-0.34236603763738904,hit
10,2,0,1,0.21769733173104192,-0.3495800369585819,hit
10,2,0,2,0.2672898104995019,-0.21699745986831723,hit
10,3,0,-2,0.1321215936447044,-0.3227476966255541,hit
10,3,0,-1,0.09597738173128106,-0.17475052210650535,hit
10,3,0,0,0.24374199893335435,-0.3344353166035359,hit
10,3,0,1,0.10493516502633218,-0.1636612571992278,hit
10,3,0,2,0.23779183719435243,-0.2782441722642371,hit
10,4,0,-2,0.12331742508336072,-0.349176875230257,hit
10,4,0,-1,0.2313997584359794,-0.06091627633008934,hit
10,4,0,0,0.25407722025154666,-0.16351611827973797,hit
10,4,0,1,0.29553979766437055,0.04149372869857607,hit
10,4,0,2,0.3498781748879804,-0.2275554214581841,hit
10,5,0,-2,0.14625030986963972,-0.10539701484178673,hit
10,5,0,-1,0.2193667586294923,-0.21627857579060217,hit
10,5,0,0,0.21300993799640447,0.11726484340584607,hit
10,5,0,1,0.20925479474255196,-0.06510677331271579,hit
10,5,0,2,0.3744650573491373,0.08995372497846471,hit
10,6,0,-2,0.13491659206263004,-0.1462326285232762,hit
10,6,0,-1,0.3150642900168903,-0.2251662681638255,hit
10,6,0,0,0.3506940116310442,0.06230470281630851,hit
10,6,0,1,0.3011280167160217,-0.026593058098451895,hit
10,6,0,2,0.38192141947069125,-0.002545561050136487,hit
10,7,0,-2,0.1665271630840565,-0.3306374859912542,hit
10,7,0,-1,0.37986084785932756,-0.41764450619068044,hit
10,7,0,0,0.15331605264610204,-0.46361140279779955,hit
10,7,0,1,0.35377105982290735,-0.2859090522451984,hit
10,7,0,2,0.19021021110175837,-0.571118612318609,hit
10,8,0,-2,0.21784073933318446,-0.7969542241034467,hit
10,8,0,-1,0.16857080312165368,-0.4986935710471358,hit
10,8,0,0,0.1753727235803204,-0.3876835282359343,hit
10,8,0,1,0.18981637561306808,-0.6378095224572642,hit
10,8,0,2,0.0772602470309803,-0.4854161316333896,hit
10,9,0,-2,0.16243727199418678,-0.6475441111626035,hit
10,9,0,-1,0.18798673927696985,-0.48912904382277195,hit
10,9,0,0,0.1501929569858131,-0.4166575697247291,hit
10,9,0,1,0.1343117648841278,-0.23414181481556248,hit
10,9,0,2,0.20470097592764191,-0.5814282162019037,hit
10,10,0,-2,-0.07699103888177979,-0.46952014335431513,hit
10,10,0,-1,-0.07459668991898634,-0.725399460414783,hit
10,10,0,0,-0.1395993895009998,-0.6371409107792062,hit
10,10,0,1,-0.08280095212734523,-0.5155270993338973,hit
10,10,0,2,0.17995441592775197,-0.5095356188259039,hit
11,1,0,-2,-0.112260880713907,-0.7105342451527008,hit
11,1,0,-1,0.0581861940835983,-0.6939416268176344,hit
11,1,0,0,-0.15988202513049582,-0.7404916395650885,hit
11,1,0,1,-0.06944290595379182,-0.7616397490475556,hit
11,1,0,2,-0.002879297463005054,-0.7788284158882257,hit
11,2,0,-2,0.14082978511963018,-0.5703856327706187,hit
11,2,0,-1,0.39558899482278415,-0.19231637513791253,hit
11,2,0,0,0.31530779876674536,-0.3677609760318923,hit
11,2,0,1,0.2049453086566698,-0.4431726311921461,hit
11,2,0,2,0.1889854803447466,-0.5033496530912779,hit
11,3,0,-2,0.20208989614434883,-0.3444452085885874,hit
11,3,0,-1,0.37436729732200846,-0.4425147883037882,hit
11,3,0,0,0.2007820665189467,-0.013206092215079533,hit
11,3,0,1,0.30202879010299305,-0.08788910085389512,hit
11,3,0,2,0.3262429471168037,-0.06765569653864223,hit
11,4,0,-2,0.2783700574442227,-0.1879723477153229,hit
11,4,0,-1,0.18038982207203458,-0.12673523948228613,hit
11,4,0,0,0.28426438571951107,-0.2224798328830425,hit
11,4,0,1,0.48755985266237833,-0.3321801092437718,hit
11,4,0,2,0.28094588483008337,-0.18447656619035285,hit
11,5,0,-2,0.17949053905332318,-0.17731082233750595,hit
11,5,0,-1,0.393009370707467,-0.04991009573497844,hit
11,5,0,0,0.3029735164997754,-0.18636767981284175,hit
11,5,0,1,0.3749394063075,-0.1623756730459438,hit
11,5,0,2,0.3472793707005419,-0.4355149993029673,hit
11,6,0,-2,0.34637732574310987,-0.12886414521700176,hit
11,6,0,-1,0.4219171341776662,-0.03618371169554906,hit
11,6,0,0,0.3384413200805012,0.1068676042185249,hit
11,6,0,1,0.36485594629747936,-0.2515246706078708,hit
11,6,0,2,0.40072190923977846,-0.25512312932770626,hit
11,7,0,-2,0.2125097632390458,-0.5606865634843169,hit
11,7,0,-1,0.2976738221720409,-0.5020788161515205,hit
11,7,0,0,0.30701144604095987,-0.49168484541049307,hit
11,7,0,1,0.4350462216677565,-0.1383444792224761,hit
11,7,0,2,0.484321021256544,-0.6696943967916745,hit
11,8,0,-2,0.09484129363527316,-0.4732674526394136,hit
11,8,0,-1,0.22998395073275846,-0.5894034470557175,hit
11,8,0,0,0.2701330486657879,-0.5569993110498934,hit
11,8,0,1,0.3906797060766154,-0.560538922846256,hit
11,8,0,2,0.0720257118411166,-0.6117863331593292,hit
11,9,0,-2,0.1609779281330755,-0.4500073434532921,hit
11,9,0,-1,0.22292419312021794,-0.6144624251821725,hit
11,9,0,0,0.15678996879111484,-0.5874208428003302,hit
11,9,0,1,0.3654216801733292,-0.41401611160496643,hit
11,9,0,2,0.34978671447428017,-0.4284513944282428,hit
11,10,0,-2,0.1282562898576994,-0.5555255431937177,hit
11,10,0,-1,0.17609624609963978,-0.6551820343874626,hit
11,10,0,0,0.12257190191091533,-0.5402815733812213,hit
11,10,0,1,-0.058945925205712374,-0.3877220940663225,hit
11,10,0,2,0.08455804049422536,-0.4757929153745366,hit
12,1,0,-2,-0.44890211812709785,-0.9008084617603824,hit
12,1,0,-1,-0.681122510937976,-0.8550993056690471,hit
12,1,0,0,-0.5242229766436928,-0.9519368928844735,hit
12,1,0,1,-0.5285091341373872,-0.8885618005576881,hit
12,1,0,2,-0.3926683456860672,-0.7922006077716001,hit
