soma_jogador,carta_dealer,as_utilizavel,q_hit,q_stick,melhor_acao
21,3,0,-0.6513215599000001,0.9477951306164499,stick
21,3,1,0.22951458609218356,0.943913414260843,stick
21,4,0,-0.7712320754503901,0.8427883023242837,stick
21,4,1,0.017753832474947766,0.9009654174654944,stick
21,5,0,-0.5217031000000001,0.8483455574922936,stick
21,5,1,0.3968347668856235,0.8319447291954436,stick
21,6,0,-0.6125795110000001,0.9054330954646496,stick
21,6,1,0.23058769709097762,0.8906973510214655,stick
21,7,0,-0.5695327900000001,0.828539027664499,stick
21,7,1,0.110836920901058,0.9846949498928769,stick
21,8,0,-0.814697981114816,0.9985720458336285,stick
21,8,1,0.24333970636143867,0.8496921426800723,stick
21,9,0,-0.8905810108684877,0.9525566425128303,stick
21,9,1,0.312664795496396,0.9538786091862735,stick
21,10,0,-0.997534965295042,0.8782498219393685,stick
21,10,1,0.09437202084005307,0.8817600949211258,stick
